,City,Longitude,Latitude,Date,Temp (C),Humidity,Cloudiness(%),Wind Speed,Humidity%,Max_Temp(C)
343,Boddam,-1.78,57.47,1553792513,12.11,50,12,5.7,50,14.0
344,Moyale,39.05,3.52,1553792523,18.63,95,12,1.31,95,18.63
345,Lara,-71.53,-16.45,1553788800,19.0,45,75,2.6,45,19.0
346,Sisimiut,-53.67,66.94,1553792523,-10.78,87,56,1.11,87,-10.78
347,Gazanjyk,55.52,39.24,1553792523,7.58,86,36,1.41,86,7.58
348,Rasova,27.94,44.24,1553790600,9.42,45,0,3.1,45,14.44
349,Algodones,-106.48,35.38,1553792523,18.65,15,20,2.1,15,23.33
350,Kirensk,108.12,57.78,1553792524,-8.38,77,88,0.96,77,-8.38
351,Upata,-62.41,8.02,1553792524,35.73,33,20,3.71,33,35.73
352,Nushki,66.02,29.55,1553792455,17.53,64,32,3.86,64,17.53
353,Chernyakhiv,28.67,50.46,1553792525,1.23,70,44,1.26,70,1.23
354,Muroto,134.14,33.37,1553792525,8.38,100,64,4.41,100,8.38
355,Port Lincoln,135.86,-34.72,1553792525,16.88,96,0,4.76,96,16.88
356,Charlestown,-71.64,41.38,1553792524,7.95,70,1,6.7,70,10.0
357,Roebourne,117.15,-20.77,1553792525,24.18,82,0,4.21,82,24.18
358,West Bay,-2.76,50.71,1553792525,13.35,71,20,4.1,71,15.0
359,Airai,125.41,-8.93,1553792526,21.48,92,64,0.66,92,21.48
360,Kilimatinde,34.82,-5.75,1553792526,25.88,53,32,2.76,53,25.88
361,Grand Island,-98.34,40.92,1553792410,5.67,86,75,9.8,86,6.11
362,Nuuk,-51.74,64.17,1553791921,-3.16,49,75,5.1,49,-3.0
363,Greenville,-82.4,34.85,1553792345,14.81,26,1,1.5,26,17.22
364,LaBelle,-81.44,26.76,1553792477,25.03,39,1,8.7,39,27.0
365,Kununurra,128.74,-15.77,1553790600,23.0,78,0,1.16,78,23.0
366,Tocache,-76.51,-8.19,1553792527,16.98,97,92,1.16,97,16.98
367,Radis,12.51,51.75,1553792524,10.09,93,75,4.1,93,11.11
368,Cartagena del Chaira,-74.84,1.33,1553792527,28.23,76,80,1.31,76,28.23
369,Oktyabrskoye,85.44,56.73,1553792418,-2.16,74,0,1.0,74,-1.67
370,Bambous Virieux,57.76,-20.34,1553792345,26.74,78,40,3.1,78,28.0
371,Avera,-82.53,33.19,1553792519,17.37,45,1,3.6,45,18.89
372,Pio,11.34,45.03,1553792497,14.25,31,0,1.5,31,16.0
373,Rocha,-54.34,-34.48,1553792528,23.63,59,0,5.36,59,23.63
374,Kisangani,25.21,0.52,1553792529,28.43,65,20,1.31,65,28.43
375,San Patricio,-56.83,-26.98,1553792524,29.73,64,0,1.41,64,29.73
376,Hambantota,81.12,6.12,1553792529,27.58,100,20,1.61,100,27.58
377,Marawi,124.29,8.0,1553792452,25.56,86,80,1.79,86,25.56
378,Laibin,109.23,23.74,1553792529,19.13,98,92,1.91,98,19.13
379,Kuching,110.34,1.56,1553790600,23.93,94,75,1.0,94,24.0
380,Sal Rei,-22.92,16.18,1553788800,25.59,50,40,6.2,50,26.0
381,Terney,136.61,45.05,1553792530,-3.43,100,0,5.21,100,-3.43
382,Atar,-13.05,20.52,1553792514,33.43,14,24,5.11,14,33.43
383,Namatanai,152.44,-3.66,1553792530,27.03,100,68,4.06,100,27.03
384,Fort Nelson,-122.69,58.81,1553788800,-1.0,74,40,2.1,74,-1.0
385,Dwarka,77.04,28.58,1553792407,28.66,44,0,1.26,44,30.0
386,Porbandar,69.61,21.64,1553792531,25.13,64,0,6.56,64,25.13
387,Melekhovo,41.37,54.43,1553792531,-1.63,86,76,5.66,86,-1.63
388,Rayadrug,76.87,14.7,1553792531,24.33,68,20,0.86,68,24.33
389,San Quintin,120.52,17.54,1553792457,18.63,81,0,0.96,81,18.63
390,Adendron,22.6,40.67,1553792527,11.55,37,20,3.1,37,13.0
391,Kaitangata,169.85,-46.28,1553792459,6.11,91,8,1.79,91,6.11
392,Tabuk,121.44,17.41,1553792397,17.08,88,0,0.81,88,17.08
393,Kamyshin,45.4,50.08,1553792532,0.73,85,92,6.36,85,0.73
394,Kaifeng,114.35,34.8,1553788800,11.0,37,0,3.0,37,11.0
395,Ixtapa,-105.21,20.71,1553792466,26.26,50,5,1.26,50,27.78
396,Nouadhibou,-17.03,20.93,1553788800,22.0,64,0,7.7,64,22.0
397,Rezekne,27.32,56.5,1553792532,3.68,75,32,5.11,75,3.68
398,Kano,8.53,11.99,1553792532,32.63,17,0,3.91,17,32.63
399,La Ronge,-105.3,55.1,1553788800,-1.0,63,75,3.6,63,-1.0
400,Huaiyin,119.02,33.59,1553792532,7.08,87,8,3.71,87,7.08
401,Zhigansk,123.37,66.77,1553792533,-19.58,63,0,1.16,63,-19.58
402,Myatlevo,35.68,54.9,1553790600,1.0,43,0,3.0,43,1.0
403,Narsaq,-46.05,60.91,1553788200,-5.0,35,20,1.5,35,-5.0
404,Petropavlovsk-Kamchatskiy,158.65,53.05,1553788800,0.0,78,92,10.0,78,0.0
405,North Bend,-124.22,43.41,1553792403,11.06,81,20,3.6,81,13.33
406,Hofn,-15.21,64.25,1553788800,3.0,59,75,10.3,59,3.0
407,Quatre Cocos,57.76,-20.21,1553792345,26.84,78,40,3.1,78,28.0
408,Yulara,130.99,-25.24,1553788800,18.0,20,0,2.1,20,18.0
409,Stromness,-79.55,42.87,1553792529,8.6,65,90,11.8,65,11.11
410,Kedougou,-12.19,12.56,1553792534,37.53,23,80,2.51,23,37.53
411,Havre-Saint-Pierre,-63.6,50.23,1553788800,2.0,55,1,3.1,55,2.0
412,Pevek,170.27,69.7,1553792534,-19.53,87,48,4.11,87,-19.53
413,Callaway,-95.91,46.98,1553792310,1.97,99,75,2.6,99,2.78
414,Fuerte,120.36,17.54,1553792535,18.63,81,0,0.96,81,18.63
415,Beringovskiy,179.32,63.05,1553792521,-9.88,72,20,2.66,72,-9.88
416,Noumea,166.46,-22.28,1553790600,23.0,78,90,2.86,78,23.0
417,Ucluelet,-125.55,48.94,1553792301,10.1,76,40,2.6,76,11.67
418,Klaksvik,-6.59,62.23,1553790000,7.0,93,92,11.3,93,7.0
419,Yabelo,38.09,4.89,1553792535,17.73,80,0,0.76,80,17.73
420,Iquique,-70.14,-20.22,1553788800,24.0,53,0,7.7,53,24.0
421,Taltal,-70.49,-25.41,1553792535,22.18,66,0,1.51,66,22.18
422,Cidreira,-50.22,-30.17,1553792536,24.08,74,24,7.81,74,24.08
423,Santiago del Estero,-64.26,-27.8,1553792452,25.23,69,32,2.11,69,25.23
424,Paita,-81.11,-5.09,1553788800,17.0,290,0,3.86,290,17.0
425,Hamilton,-79.87,43.26,1553792420,8.11,70,90,6.7,70,9.44
426,Broome,1.45,52.47,1553792535,12.7,62,40,3.6,62,14.0
427,Tuatapere,167.69,-46.13,1553792502,8.58,100,8,2.21,100,8.58
428,Mairana,-63.96,-18.12,1553792537,22.93,65,24,1.51,65,22.93
429,Prado,-39.22,-17.34,1553792538,27.23,99,68,8.71,99,27.23
430,Miyako,130.94,33.63,1553792407,12.01,66,92,1.5,66,13.33
431,Senec,17.4,48.22,1553792528,10.95,62,75,3.1,62,12.78
432,Impfondo,18.06,1.62,1553792539,27.58,78,8,0.81,78,27.58
433,San Matias,-86.63,13.97,1553792400,23.94,43,75,5.1,43,25.0
434,Alice Town,-79.3,25.72,1553792539,22.93,100,64,12.76,100,22.93
435,Mnogovershinnyy,139.92,53.94,1553792540,-9.88,82,88,1.51,82,-9.88
436,Ballina,-9.15,54.11,1553792525,12.75,62,40,5.7,62,15.0
437,Kieta,155.63,-6.22,1553792540,24.23,100,92,1.76,100,24.23
438,Itarema,-39.92,-2.92,1553792540,25.53,100,92,2.86,100,25.53
439,Lawrence,-95.24,38.97,1553792509,15.49,71,90,2.1,71,17.0
440,Amahai,129.0,-3.31,1553792263,28.89,84,36,5.11,84,28.89
441,Kayalpattinam,78.12,8.57,1553792541,25.38,75,0,1.96,75,25.38
442,Namibe,12.15,-15.19,1553792541,26.18,94,20,3.81,94,26.18
443,Tautira,-149.15,-17.73,1553791943,25.75,78,75,2.6,78,26.0
444,Sobolevo,31.9,54.43,1553792541,1.23,55,76,3.86,55,1.23
445,Waddan,16.14,29.16,1553792542,16.93,65,32,2.51,65,16.93
446,Larsnes,5.58,62.2,1553792504,9.41,71,20,16.5,71,11.0
447,Lima,-77.04,-12.06,1553792406,24.63,69,0,4.6,69,25.0
448,Peace River,-117.29,56.23,1553788800,1.0,74,75,1.56,74,1.0
449,Carballo,-8.69,43.21,1553792482,18.74,37,0,3.6,37,23.33
450,Saint Anthony,-111.68,43.97,1553792185,3.25,86,90,11.8,86,4.44
451,Okahandja,16.91,-21.98,1553792438,23.95,47,48,0.36,47,24.0
452,Santa Maria,-53.81,-29.69,1553788800,25.0,65,75,7.2,65,25.0
453,Qaqortoq,-46.03,60.72,1553788200,-5.0,35,20,1.5,35,-5.0
454,Lata,78.62,30.78,1553792519,8.03,85,0,1.21,85,8.03
455,Kaeo,173.78,-35.1,1553791085,19.44,90,92,2.41,90,19.44
456,Resen,21.01,41.09,1553792543,5.43,98,92,2.31,98,5.43
457,Samarai,150.67,-10.62,1553792544,27.93,100,20,6.31,100,27.93
458,Le Vauclin,-60.84,14.55,1553790600,28.12,58,90,7.7,58,30.0
459,Loa Janan,117.09,-0.58,1553792376,22.63,100,92,1.16,100,22.63
460,Dingle,122.67,11.0,1553792078,22.33,94,20,3.01,94,22.33
461,Chicama,-79.15,-7.84,1553788800,22.0,83,20,4.1,83,22.0
462,Komsomolskiy,63.78,67.55,1553792544,-3.53,84,68,5.61,84,-3.53
463,Matagami,8.4,9.67,1553792544,31.18,20,20,3.41,20,31.18
464,Coihaique,-72.07,-45.58,1553788800,16.3,48,0,1.31,48,17.0
465,Iskateley,53.15,67.68,1553792545,-1.38,90,88,6.36,90,-1.38
466,Moron,-68.2,10.49,1553792545,29.38,70,12,1.26,70,29.38
467,Bilma,12.92,18.69,1553792473,28.08,16,88,2.41,16,28.08
468,Valkeakoski,24.03,61.26,1553792535,5.46,56,0,6.7,56,7.0
469,Pontivy,-2.97,48.06,1553792502,13.34,58,0,6.2,58,15.0
470,Dong Hoi,106.6,17.48,1553792507,23.63,100,44,2.51,100,23.63
471,Yuanping,112.71,38.72,1553792546,-0.38,65,12,1.06,65,-0.38
472,Pangody,74.49,65.85,1553792546,-2.03,89,56,7.36,89,-2.03
473,Tapiramuta,-40.79,-11.85,1553792546,27.23,69,76,4.66,69,27.23
474,Lasa,32.53,34.92,1553792464,15.61,77,75,1.5,77,17.0
475,Talara,-81.27,-4.58,1553788800,17.0,290,0,3.86,290,17.0
476,Henties Bay,14.28,-22.12,1553792530,17.78,87,56,3.58,87,17.78
477,Matara,-72.9,-13.74,1553788800,11.0,87,75,1.06,87,11.0
478,Chenghai,116.77,23.46,1553788800,23.0,100,0,3.0,100,23.0
479,Pitogo,122.09,13.79,1553792547,25.38,100,8,3.86,100,25.38
480,Ozernovskiy,156.52,51.5,1553792548,-2.38,84,88,5.21,84,-2.38
481,Yasnyy,44.09,64.04,1553792548,-3.28,90,8,2.81,90,-3.28
482,Baker City,-117.83,44.77,1553792538,5.56,80,75,2.1,80,8.33
483,Maniitsoq,-52.9,65.42,1553792548,-8.73,91,44,3.86,91,-8.73
484,Ginda,78.49,30.69,1553792549,8.03,85,0,1.21,85,8.03
485,Port Hardy,-127.42,50.7,1553788800,4.0,86,40,1.0,86,4.0
486,Ust-Kuyga,135.55,70.0,1553792518,-22.43,78,12,2.86,78,-22.43
487,Saint-Joseph,6.97,43.56,1553792507,14.58,44,0,2.6,44,16.0
488,Marzuq,46.47,14.4,1553792550,17.13,65,0,1.66,65,17.13
489,Cabra,-4.43,37.47,1553792452,19.31,15,0,2.1,15,22.0
490,Northam,-4.21,51.04,1553792531,12.5,71,20,4.1,71,15.0
491,Diffa,12.61,13.32,1553792551,32.08,17,0,3.41,17,32.08
492,Kusadak,20.8,44.4,1553790600,12.49,22,0,3.6,22,13.0
493,Khash,61.21,28.22,1553792551,12.13,83,8,4.01,83,12.13
494,Ittiri,8.57,40.59,1553792524,13.33,47,0,6.7,47,15.0
495,Pontianak,109.34,-0.02,1553792552,26.63,93,92,1.61,93,26.63
496,Dawlatabad,64.91,36.41,1553792552,15.43,86,76,3.46,86,15.43
497,Rancho Palos Verdes,-118.37,33.75,1553792552,16.59,82,75,5.7,82,18.33
498,Savannah Bight,-85.85,16.45,1553792552,24.43,100,92,3.91,100,24.43
499,Beterou,2.26,9.2,1553792471,34.48,26,0,2.56,26,34.48
500,Lipno,19.18,52.85,1553792466,11.67,75,0,0.45,75,11.67
501,Havelock,-76.9,34.88,1553792543,17.63,55,1,6.7,55,20.0
502,Ulaangom,92.07,49.98,1553792464,-16.53,54,0,0.86,54,-16.53
503,Puerto Penasco,-113.53,31.32,1553792520,20.0,58,0,2.24,58,20.0
504,Willmar,-95.04,45.12,1553792517,4.87,70,40,4.1,70,7.0
505,Walvis Bay,14.51,-22.95,1553792530,20.93,47,0,4.6,47,24.0
506,Ubauro,69.73,28.16,1553792554,26.68,40,36,3.21,40,26.68
507,Ewa Beach,-158.01,21.32,1553792531,18.39,88,40,2.1,88,20.0
508,Kaseda,130.32,31.42,1553792554,16.93,100,92,1.51,100,16.93
509,Haapiti,-149.87,-17.57,1553792543,25.76,78,75,2.6,78,26.0
510,Akureyri,-18.09,65.68,1553788800,0.0,84,90,6.7,84,0.0
511,Kongolo,27.0,-5.39,1553792554,22.23,92,24,1.66,92,22.23
512,Beni Suef,31.1,29.07,1553792555,18.38,30,0,2.86,30,18.38
513,Baghdad,44.38,33.3,1553788800,18.0,52,0,2.1,52,18.0
514,Atambua,124.89,-9.11,1553792555,24.93,100,88,2.06,100,24.93
515,Fiumicino,12.23,41.77,1553792525,15.41,42,0,4.1,42,19.0
516,Fochville,27.49,-26.49,1553792549,21.6,64,12,1.76,64,23.0
517,Oistins,-59.53,13.07,1553788800,29.0,66,40,9.3,66,29.0
518,Vila Franca do Campo,-25.43,37.72,1553792065,14.28,67,20,8.2,67,16.0
519,Isla Vista,-119.86,34.41,1553792539,15.41,82,40,2.6,82,17.78
520,Lompoc,-120.46,34.64,1553792070,14.84,87,40,2.6,87,17.22
521,Warrenton,24.85,-28.11,1553792368,26.73,20,0,5.11,20,26.73
522,Tarakan,117.63,3.3,1553788800,25.0,88,40,6.7,88,25.0
523,Jumla,82.18,29.28,1553792556,-1.58,89,20,1.16,89,-1.58
524,Burns Lake,-125.76,54.23,1553792557,3.58,54,0,1.21,54,3.58
525,Moose Factory,-80.61,51.26,1553791500,-7.0,67,90,8.2,67,-7.0
526,Camocim,-40.84,-2.9,1553792557,26.73,91,76,4.31,91,26.73
527,Lithakia,20.83,37.72,1553792495,11.21,57,75,4.6,57,12.0
528,Cabugao,122.87,11.45,1553792557,24.33,100,100,1.61,100,24.33
529,Bambanglipuro,110.28,-7.95,1553792557,22.33,96,64,1.21,96,22.33
530,Dongsheng,112.52,29.72,1553792558,10.68,86,24,1.26,86,10.68
531,Uryupinsk,42.01,50.8,1553792541,0.22,71,0,0.89,71,0.56
532,Victor Harbor,138.62,-35.55,1553792522,18.41,55,0,4.6,55,19.0
533,Purranque,-73.16,-40.91,1553788800,12.91,82,40,1.0,82,14.0
534,Raduzhnyy,77.47,62.1,1553792558,-1.28,87,80,4.81,87,-1.28
535,Skibbereen,-9.27,51.55,1553790600,11.0,76,20,6.2,76,11.0
